state_fips,name,rate_raw,ci_lo,ci_hi,count_raw,trend,rate,avg_annual_count,status,title,site,site_code
12000,Florida,128.7,127.9,129.6,19703,rising,128.7,19703,ok,"Breast (All Stages^), 2018-2022",breast,055
01000,Alabama,127.9,126.1,129.7,4181,rising,127.9,4181,ok,"Breast (All Stages^), 2018-2022",breast,055
18000,Indiana,127.3,125.7,128.9,5282,falling,127.3,5282,ok,"Breast (All Stages^), 2018-2022",breast,055
40000,Oklahoma,127.1,125.0,129.2,3020,rising,127.1,3020,ok,"Breast (All Stages^), 2018-2022",breast,055
54000,West Virginia,126.8,123.9,129.8,1589,rising,126.8,1589,ok,"Breast (All Stages^), 2018-2022",breast,055
47000,Tennessee,126.1,124.6,127.7,5553,rising,126.1,5553,ok,"Breast (All Stages^), 2018-2022",breast,055
05000,Arkansas,125.8,123.4,128.2,2400,rising,125.8,2400,ok,"Breast (All Stages^), 2018-2022",breast,055
56000,Wyoming,125.8,120.3,131.5,438,rising,125.8,438,ok,"Breast (All Stages^), 2018-2022",breast,055
28000,Mississippi,125.6,123.3,128.0,2347,rising,125.6,2347,ok,"Breast (All Stages^), 2018-2022",breast,055
06000,California,125.6,125.0,126.3,28877,rising,125.6,28877,ok,"Breast (All Stages^), 2018-2022",breast,055
48000,Texas,123.7,122.9,124.5,19496,rising,123.7,19496,ok,"Breast (All Stages^), 2018-2022",breast,055
49000,Utah,123.1,120.6,125.7,1856,rising,123.1,1856,ok,"Breast (All Stages^), 2018-2022",breast,055
04000,Arizona,119.1,117.6,120.6,5446,stable,119.1,5446,ok,"Breast (All Stages^), 2018-2022",breast,055
35000,New Mexico,115.9,113.2,118.6,1584,stable,115.9,1584,ok,"Breast (All Stages^), 2018-2022",breast,055
32000,Nevada,111.5,109.3,113.7,2084,stable,111.5,2084,ok,"Breast (All Stages^), 2018-2022",breast,055
72001,Puerto Rico,98.9,97.0,100.8,2410,rising,98.9,2410,ok,"Breast (All Stages^), 2018-2022",breast,055
21000,Kentucky,46.5,45.6,47.3,2529,stable,46.5,2529,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
28000,Mississippi,46,45.0,47.1,1643,falling,46.0,1643,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
54000,West Virginia,44.4,43.2,45.6,1101,stable,44.4,1101,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
22000,Louisiana,44.3,43.5,45.2,2409,falling,44.3,2409,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
05000,Arkansas,42.2,41.3,43.2,1556,falling,42.2,1556,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
02900,Alaska,41.1,38.9,43.4,300,falling,41.1,300,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
40000,Oklahoma,40.6,39.7,41.4,1854,stable,40.6,1854,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
19000,Iowa,40.3,39.4,41.2,1572,stable,40.3,1572,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
01000,Alabama,40.2,39.4,40.9,2492,falling,40.2,2492,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
29000,Missouri,40.2,39.5,40.8,3033,stable,40.2,3033,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
13000,Georgia,39.9,39.4,40.4,4738,stable,39.9,4738,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
46000,South Dakota,39.5,37.8,41.3,419,falling,39.5,419,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
