nct_id,cancer_type,cancer_type_label,multi_subtype,categories_matched,generic_listed,source
NCT05425004,brain_cns,Brain & CNS,,brain_cns,0,conditions
NCT06493552,bladder_urothelial,Bladder & urothelial,,bladder_urothelial,0,conditions
NCT05183126,multi,Multiple cancer types / basket or umbrella,multiple named cancers,breast;gastric_esophageal,0,conditions
NCT06680752,multi,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;mds_mpn,0,conditions
NCT06311578,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT05710848,bladder_urothelial,Bladder & urothelial,,bladder_urothelial,0,conditions
NCT05945849,leukemia,Leukemia,,leukemia,0,conditions
NCT04943848,brain_cns,Brain & CNS,,brain_cns,0,conditions
NCT06422806,sarcoma,Sarcoma,,sarcoma,0,conditions
NCT06948448,colorectal,Colorectal,,colorectal,0,conditions
NCT05552222,myeloma,Myeloma & plasma cell,,myeloma,0,conditions
NCT06498973,multi,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;mds_mpn,0,conditions
NCT06376162,leukemia,Leukemia,,leukemia,0,conditions
NCT07484022,bladder_urothelial,Bladder & urothelial,,bladder_urothelial,0,conditions
NCT06563479,head_neck,Head & neck,,head_neck,0,title/keywords
NCT06887218,colorectal,Colorectal,,colorectal,0,conditions
NCT06926920,breast,Breast,,breast,0,conditions
NCT05636618,multi,Multiple cancer types / basket or umbrella,multiple named cancers,brain_cns;neuroendocrine_endocrine,0,conditions
NCT06386146,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT06246968,breast,Breast,,breast,0,conditions
NCT06952803,prostate,Prostate,,prostate,0,conditions
NCT04933903,lung,Lung & thoracic,,lung,0,conditions
NCT07197554,multi,Multiple cancer types / basket or umbrella,multiple named cancers,liver_biliary;sarcoma,1,conditions
NCT06569368,colorectal,Colorectal,,colorectal,0,conditions
NCT06730542,lymphoma,Lymphoma,,lymphoma,0,conditions
NCT03190941,multi,Multiple cancer types / basket or umbrella,multiple named cancers,colorectal;gastric_esophageal;pancreatic,1,conditions
NCT06630091,lymphoma,Lymphoma,,lymphoma,0,conditions
NCT05024097,colorectal,Colorectal,,colorectal,0,conditions
NCT06006013,neuroendocrine_endocrine,Neuroendocrine & endocrine,,neuroendocrine_endocrine,0,conditions
NCT05320588,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT06080061,lung,Lung & thoracic,,lung,0,conditions
NCT06898905,lymphoma,Lymphoma,,lymphoma,0,conditions
NCT04992780,lung,Lung & thoracic,,lung,0,conditions
NCT07805954,pancreatic,Pancreatic,,pancreatic,0,conditions
NCT07349537,multi,Multiple cancer types / basket or umbrella,multiple named cancers,colorectal;lung;pancreatic,1,conditions
NCT06840886,multi,Multiple cancer types / basket or umbrella,multiple named cancers,brain_cns;gynecologic;liver_biliary,1,conditions
NCT05307705,breast,Breast,,breast,0,conditions
NCT07109219,leukemia,Leukemia,,leukemia,0,conditions
NCT07293754,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT07516366,kidney,Kidney,,kidney,0,conditions
NCT04924075,multi,Multiple cancer types / basket or umbrella,multiple named cancers,brain_cns;neuroendocrine_endocrine;sarcoma,0,conditions
NCT07360119,pancreatic,Pancreatic,,pancreatic,0,conditions
NCT06664151,melanoma_skin,Melanoma & skin,,melanoma_skin,0,conditions
NCT07585357,other_unclassified,Other / unclassified,,,0,none
NCT06477419,lung,Lung & thoracic,,lung,0,conditions
NCT05183854,leukemia,Leukemia,,leukemia,0,conditions
NCT06479239,pancreatic,Pancreatic,,pancreatic,0,conditions
NCT07005154,prostate,Prostate,,prostate,0,conditions
NCT07070466,gastric_esophageal,Gastric & esophageal,,gastric_esophageal,0,conditions
NCT06795412,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT07357519,sarcoma,Sarcoma,,sarcoma,0,conditions
NCT07280013,myeloma,Myeloma & plasma cell,,myeloma,0,conditions
NCT06140524,myeloma,Myeloma & plasma cell,,myeloma,0,conditions
NCT05327023,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT06569147,myeloma,Myeloma & plasma cell,,myeloma,0,conditions
NCT05597306,leukemia,Leukemia,,leukemia,0,conditions
NCT03011814,lymphoma,Lymphoma,,lymphoma,0,conditions
NCT07405164,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
